,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
13,-6.295164282,-6.489462955,-0.398675199,0.426498783,7.18505216,7.180217641,-0.010774318,-0.057374047,-0.140098689,-0.002693691,0.068437231,0.002352373
14,-6.290409133,-6.482015695,-0.384200885,0.404788691,7.166165956,7.145254702,-0.072315132,-0.180722935,-0.021030231,-0.121704118,0.068831841,-0.060741404
15,-6.316530442,-6.47965626,-0.394104837,0.409601442,7.158937651,7.147605557,-0.074165316,-0.180713447,0.039163118,-0.181376207,0.00812325,-0.123342884
16,-6.307235327,-6.486827019,-0.39163036,0.395282561,7.189582423,7.159189417,-0.073931964,-0.178656928,-0.020559993,-0.241615368,0.007785211,-0.06393511
17,-6.302633562,-6.469979175,-0.379585465,0.385737048,7.194233497,7.147590507,-0.073931964,-0.116461238,-0.020559993,-0.241924011,0.007785211,-0.064487389
18,-6.295138111,-6.462824114,-0.396267338,0.388185537,7.17797723,7.149956117,-0.014241333,-0.121616767,-0.079435102,-0.001817975,-0.053317989,-0.119104603
19,-6.292895748,-6.494138909,-0.391456521,0.407305346,7.189719642,7.175493652,-0.010774318,-0.121626256,-0.140098689,0.057854113,0.068437231,-0.056503122
20,-6.292626785,-6.479606756,-0.40342807,0.385756209,7.173355488,7.159197625,-0.010774318,-0.058416539,-0.140098689,0.116934023,0.068437231,0.066550707
21,-6.314283721,-6.503561778,-0.398906985,0.397547672,7.184869201,7.154464746,0.050299792,0.06287583,-0.139720926,0.29618361,0.068718699,0.070236709
22,-6.305094726,-6.49406874,-0.362802528,0.40959288,7.177610809,7.15919235,-0.009157486,0.06287583,-0.140568928,0.29618361,0.129483861,0.070236709
23,-6.299906335,-6.486723835,-0.381902757,0.392771206,7.154296019,7.140547422,-0.011241022,0.060819311,-0.020652467,0.356422771,0.069113309,0.010828935
24,-6.287842567,-6.496351416,-0.412983089,0.392790367,7.187590366,7.152154539,-0.07208178,0.063908834,-0.080753342,0.236227985,0.068493802,0.068639855
25,-6.285545683,-6.491497177,-0.408163033,0.392728562,7.192277486,7.138197545,-0.009390838,0.001722632,-0.080845817,0.17686454,0.1298219,0.006590654
26,-6.297631263,-6.494010127,-0.389103526,0.411895336,7.180247208,7.1452206,0.049833088,-0.060463569,-0.020274704,0.117501095,0.069394776,-0.055458548
