sensor,left_sensor,left_sensor,left_sensor,left_sensor,left_sensor,left_sensor,right_sensor,right_sensor,right_sensor,right_sensor,right_sensor,right_sensor
axis,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
9,9.336425346561185,0.8812433739229093,2.7312373231586395,-0.06115803877085237,0.07036191149895749,-0.03330136640591947,9.512760564511346,-0.359393364868259,2.3939793612894875,0.2095012292732736,0.1365939381919827,-0.14908706855087864
10,9.443550309763443,0.9238715420606193,2.8175859134653582,-0.12252459592105737,0.25286886963591426,-0.21574924379974314,9.512916397918069,-0.32116511223645144,2.379579204879325,-0.1467203064020574,-0.04367761554688197,0.041470243130135066
11,9.36636228362031,0.8957481109702591,2.8010251881056205,0.2990391431451013,0.06874093374226477,-0.040370704269142826,9.469735690690625,-0.3494991549736579,2.3808177975203137,0.2698367271986217,-0.10927953208632285,0.09586823259595509
12,9.422593280826861,0.8662620816659504,2.747746766445041,-0.4222335410862523,0.19350753155341605,-0.1486708380221158,9.451113255989661,-0.3588100521578383,2.4195371473076572,-0.03182707951760789,-0.22895248633777174,-0.08218785014876208
13,9.427411683446662,0.8995153495683746,2.719180393595309,0.35913676051170834,-0.05309715968521856,0.020080416702396877,9.517529651446084,-0.38808450182159393,2.4129998479000636,0.0338087383814996,0.4450744433059761,-0.20862550253674364
14,9.407952194609269,0.8805341521775073,2.7151002172922114,-0.24420504838021903,0.009640968348671237,-0.2117650438598726,9.473920869520928,-0.3830666059247605,2.3616729283394093,0.024537164482050317,-0.4135614441512401,-0.14362576146173228
15,9.337564074134646,0.9292383205086755,2.7639727964288405,0.0028846133965383367,0.01025999298315209,0.269839923829314,9.533132060230376,-0.26382663237416204,2.42187835072699,-0.08782785368516548,-0.16693588742129542,0.10222889732363726
16,9.4375711349758,0.9329481106673608,2.728166648834087,-0.12623596740699447,-0.0522631095132347,-0.33530067110158773,9.4704075050438,-0.2920808851934515,2.3902354661561604,0.6320851080913163,-0.051528385716980644,0.3956396163041111
17,9.384918839479313,0.909617307177832,2.7485999491362256,0.17619002726905514,-0.2356128406248837,-0.09682471368669454,9.522407156379366,-0.3117034027227429,2.36975297508382,-0.38315549924098213,0.08143085587106426,0.04498598655811818
18,9.375508157999773,0.8954986775807465,2.7724931792560574,0.23997730938743733,-0.05240447555006786,0.08317802206151176,9.474661143691137,-0.35428741795850804,2.3950136733506464,0.20941619499061664,-0.10868457743310372,0.035657925719392726
