gyr_pa,gyr_si,gyr_ml
113.11500000000001,55.75499999999998,181.755
101.59,52.154999999999994,161.675
88.815,46.63399999999999,137.98
73.545,40.841,115.08
58.41499999999999,35.609500000000004,91.405
47.191,30.563,64.60000000000001
33.224000000000004,25.9125,37.593
11.020499999999998,23.2815,7.280500000000001
-5.288,21.3935,-22.603
-15.2555,19.6045,-50.644999999999996
-29.169999999999998,17.974,-82.795
-42.567,17.7855,-113.07000000000001
-65.545,18.7405,-144.8
-94.64500000000001,22.090000000000003,-174.04500000000002
-134.895,24.837,-201.19500000000002
-169.68,25.4425,-224.86
-182.525,26.119999999999997,-240.20999999999998
-184.755,24.781000000000002,-250.82
-193.445,21.347,-257.175
-191.57000000000002,18.981499999999997,-257.475
-175.41500000000002,17.3,-252.93499999999997
-152.675,14.038499999999999,-243.41500000000002
-123.55,11.723,-229.465
-97.955,8.749500000000001,-213.13000000000002
-80.735,5.758,-195.21
-66.815,3.48245,-176.475
-53.135000000000005,1.8736,-156.855
-42.67400000000001,1.2511,-136.535
-36.524,1.24495,-117.915
-37.676,0.7352,-100.56
-37.5685,0.30280999999999997,-84.30499999999999
-30.255,-0.6060499999999999,-69.025
-21.052,-1.5905500000000001,-56.745000000000005
-18.221,-1.7375499999999997,-47.1595
-15.865999999999998,-1.91675,-39.49700000000001
-13.023500000000002,-1.96815,-33.260999999999996
-13.097999999999999,-1.6640000000000001,-28.806
-13.3985,-1.6366,-25.191
-11.926499999999999,-1.8687,-21.4635
-8.928,-1.7987000000000002,-18.4855
-6.4155,-2.1241999999999996,-14.947999999999999
-5.2115,-1.9816999999999998,-12.1505
-3.7559,-1.69235,-10.552
-3.1859,-1.83635,-9.223
-2.6767,-2.03775,-8.0135
-2.5863,-2.30955,-6.755
-3.19605,-2.497,-5.739999999999999
-3.4747500000000002,-2.4806999999999997,-5.1055
-3.1631500000000004,-2.4761999999999995,-4.8111999999999995
-2.68835,-2.5347,-4.5516000000000005
-2.31385,-2.5534000000000003,-4.3966
-2.0146499999999996,-2.5086500000000003,-4.3151
-1.5537,-2.4894000000000003,-4.03755
-1.0826500000000001,-2.50365,-3.4807
-1.34855,-2.5239,-3.1491000000000002
-1.2470999999999999,-2.5804,-3.1708000000000003
-1.1261999999999999,-2.6385,-3.22635
-1.01485,-2.67975,-3.3184500000000003
-1.01315,-2.75,-3.4848
-1.13215,-2.8396999999999997,-3.636199999999999
-1.22465,-2.9232,-3.784150000000001
-1.3135500000000002,-2.9680999999999997,-3.97125
-1.3698,-2.9881,-4.18355
-1.36055,-3.0656,-4.45995
-1.4125499999999998,-3.159,-4.717499999999999
-1.4857000000000002,-3.2458500000000003,-5.0225
-1.6392499999999999,-3.3608499999999997,-5.41
-1.73195,-3.5021500000000003,-5.796
-1.7594999999999998,-3.624199999999999,-6.1815
-1.8329000000000002,-3.6943000000000006,-6.516500000000001
-1.9578,-3.7289000000000003,-6.856999999999999
-1.9929999999999999,-3.7805,-7.3015
-2.03505,-3.8856000000000006,-7.859500000000001
-2.2101,-4.0179,-8.409999999999998
-2.2818,-4.2231000000000005,-9.0935
-2.3418,-4.4604,-9.737499999999999
-2.46475,-4.664350000000001,-10.268
-2.5239,-4.83975,-10.78
-2.4666,-5.0205,-11.325
-2.44265,-5.265,-12.0505
-2.58665,-5.5649999999999995,-12.836000000000002
-2.7604,-5.927,-13.8315
-2.7017,-6.2745,-14.9525
-2.57835,-6.684000000000001,-16.212500000000002
-2.4285,-7.1395,-17.5255
-2.35145,-7.6080000000000005,-19.023
-2.6908000000000003,-8.085500000000001,-20.752
-3.1153999999999997,-8.5,-22.537000000000003
-3.3693500000000003,-8.8605,-24.487499999999997
-3.713,-9.2995,-26.807000000000002
-4.18,-9.6355,-29.570999999999994
-4.644,-9.707500000000001,-32.446
-5.0575,-9.7595,-35.49
-5.417,-9.8785,-38.73500000000001
-5.4945,-10.131,-42.283
-5.5665000000000004,-10.174500000000002,-46.4195
-5.707,-10.0435,-50.85
-5.518000000000001,-9.909,-55.73
-5.183,-9.878,-61.44500000000001
-4.4074,-9.7955,-67.675
-3.9679499999999996,-9.462,-74.39
-4.831899999999999,-8.613,-81.595
-5.707,-7.4315,-88.59
-5.927,-6.5765,-95.44
-5.536999999999999,-5.8015,-102.40999999999998
-6.079000000000001,-4.7723,-109.55999999999999
-6.8115,-3.6955,-117.15999999999998
-6.9345,-2.6732500000000003,-125.87499999999999
-6.6385000000000005,-1.74515,-136.12
-6.878,-0.9850500000000001,-146.7
-7.256,-0.8728999999999999,-157.30999999999997
-7.5615,-1.1679,-168.31500000000003
-8.386,-1.61225,-179.30499999999998
-9.3045,-2.38135,-190.445
-10.2885,-3.6564,-202.56500000000005
-11.995000000000001,-5.616,-216.51
-15.1185,-8.286499999999998,-232.39000000000001
-19.709999999999997,-11.700000000000001,-250.17499999999998
-25.0015,-15.590000000000003,-269.19499999999994
-30.842000000000002,-19.518,-288.275
-37.536,-23.623500000000003,-307.17
-43.53999999999999,-27.476,-325.23
-49.92400000000001,-30.920999999999996,-343.01
-56.529999999999994,-34.245999999999995,-360.54999999999995
-64.33500000000001,-38.310500000000005,-380.00500000000005
-73.87,-42.7835,-401.7
-83.96000000000001,-46.864,-423.235
-93.14500000000001,-50.225,-441.125
-101.33500000000001,-52.254999999999995,-454.96999999999997
-106.54,-53.19,-464.51499999999993
-109.76500000000004,-54.145,-472.16999999999996
-112.59,-54.83,-479.47
-116.42000000000002,-56.510000000000005,-489.255
-120.655,-58.495000000000005,-499.625
